NumLicenceFFK	Nom	Prenom	DateNaissance	Genre	categorie	Activite	Adresse	Telephone1	Telephone2	Email	Cotisation	DateInscription	Grade	NomParents	PrenomParents	TelephoneParents1	TelephoneParents2	EmailParents	Observation
ABCDEFGH172	ABCDEFGH13604	ABCDEFGH13817	1970-01-01T00:00:00+00:00	Homme	Minimes	A2	ADRES49	+1 (961) 684-8612	Maiores id sint lab	nodycilob@mailinator.com	71	1970-01-01T00:00:00+00:00	Bleue 2	ABCDEFGH13508E97	ABCDEFGH135527				UU61
ABCDEFGH174	ABCDEFGH13606	ABCDEFGH13819	1970-01-01T00:00:00+00:00	Homme	pupilles	A2	ADRES51	+1 (449) 884-3716	+1 (175) 294-6673	rebyz@mailinator.com	220	1970-01-01T00:00:00+00:00	Orange	ABCDEFGH13508E99	ABCDEFGH135529	123456	120012		UU63
ABCDEFGH176	ABCDEFGH13608	ABCDEFGH13821	1970-01-01T00:00:00+00:00	Homme	Benjamins	A2	ADRES53	+1 (858) 261-9518	Vitae sed ut et fugi	bybesytus@mailinator.com	96	1970-01-01T00:00:00+00:00	Bleue 1	ABCDEFGH13508E101	ABCDEFGH135531	328 142-8882	+1 (688) 993-4496	kaseka@mailinator.com	UU65
ABCDEFGH177	ABCDEFGH13609	ABCDEFGH13822	1970-01-01T00:00:00+00:00	Homme	pupilles	A2	ADRES54	+1 (449) 884-3716	+1 (175) 294-6673	rebyz@mailinator.com	220	1970-01-01T00:00:00+00:00	Orange	ABCDEFGH13508E102	ABCDEFGH135532	123456	120012		UU66
ABCDEFGH178	ABCDEFGH13610	ABCDEFGH13823	1970-01-01T00:00:00+00:00	Homme	Minimes	A2	ADRES55	+1 (961) 684-8612	Maiores id sint lab	nodycilob@mailinator.com	71	1970-01-01T00:00:00+00:00	Bleue 2	ABCDEFGH13508E103	ABCDEFGH135533				UU67
ABCDEFGH179	ABCDEFGH13611	ABCDEFGH13824	1970-01-01T00:00:00+00:00	Homme	Benjamins	A2	ADRES56	+1 (858) 261-9518	Vitae sed ut et fugi	bybesytus@mailinator.com	96	1970-01-01T00:00:00+00:00	Bleue 1	ABCDEFGH13508E104	ABCDEFGH135534	328 142-8882	+1 (688) 993-4496	kaseka@mailinator.com	UU68
ABCDEFGH180	ABCDEFGH13612	ABCDEFGH13825	1970-01-01T00:00:00+00:00	Homme	pupilles	A2	ADRES57	+1 (449) 884-3716	+1 (175) 294-6673	rebyz@mailinator.com	220	1970-01-01T00:00:00+00:00	Orange	ABCDEFGH13508E105	ABCDEFGH135535	123456	120012		UU69
ABCDEFGH181	ABCDEFGH13613	ABCDEFGH13826	1970-01-01T00:00:00+00:00	Homme	Minimes	A2	ADRES58	+1 (961) 684-8612	Maiores id sint lab	nodycilob@mailinator.com	71	1970-01-01T00:00:00+00:00	Bleue 2	ABCDEFGH13508E106	ABCDEFGH135536				UU70
ABCDEFGH182	ABCDEFGH13614	ABCDEFGH13827	1970-01-01T00:00:00+00:00	Homme	Benjamins	A2	ADRES59	+1 (858) 261-9518	Vitae sed ut et fugi	bybesytus@mailinator.com	96	1970-01-01T00:00:00+00:00	Bleue 1	ABCDEFGH13508E107	ABCDEFGH135537	328 142-8882	+1 (688) 993-4496	kaseka@mailinator.com	UU71
ABCDEFGH183	ABCDEFGH13615	ABCDEFGH13828	1970-01-01T00:00:00+00:00	Homme	pupilles	A2	ADRES60	+1 (449) 884-3716	+1 (175) 294-6673	rebyz@mailinator.com	220	1970-01-01T00:00:00+00:00	Orange	ABCDEFGH13508E108	ABCDEFGH135538	123456	120012		UU72
ABCDEFGH184	ABCDEFGH13616	ABCDEFGH13829	1970-01-01T00:00:00+00:00	Homme	Minimes	A2	ADRES61	+1 (961) 684-8612	Maiores id sint lab	nodycilob@mailinator.com	71	1970-01-01T00:00:00+00:00	Bleue 2	ABCDEFGH13508E109	ABCDEFGH135539				UU73
ABCDEFGH185	ABCDEFGH13617	ABCDEFGH13830	1970-01-01T00:00:00+00:00	Homme	Benjamins	A2	ADRES62	+1 (858) 261-9518	Vitae sed ut et fugi	bybesytus@mailinator.com	96	1970-01-01T00:00:00+00:00	Bleue 1	ABCDEFGH13508E110	ABCDEFGH135540	328 142-8882	+1 (688) 993-4496	kaseka@mailinator.com	UU74
ABCDEFGH186	ABCDEFGH13618	ABCDEFGH13831	1970-01-01T00:00:00+00:00	Homme	pupilles	A2	ADRES63	+1 (449) 884-3716	+1 (175) 294-6673	rebyz@mailinator.com	220	1970-01-01T00:00:00+00:00	Orange	ABCDEFGH13508E111	ABCDEFGH135541	123456	120012		UU75
ABCDEFGH187	ABCDEFGH13619	ABCDEFGH13832	1970-01-01T00:00:00+00:00	Homme	Minimes	A2	ADRES64	+1 (961) 684-8612	Maiores id sint lab	nodycilob@mailinator.com	71	1970-01-01T00:00:00+00:00	Bleue 2	ABCDEFGH13508E112	ABCDEFGH135542				UU76
ABCDEFGH188	ABCDEFGH13620	ABCDEFGH13833	1970-01-01T00:00:00+00:00	Homme	Benjamins	A2	ADRES65	+1 (858) 261-9518	Vitae sed ut et fugi	bybesytus@mailinator.com	96	1970-01-01T00:00:00+00:00	Bleue 1	ABCDEFGH13508E113	ABCDEFGH135543	328 142-8882	+1 (688) 993-4496	kaseka@mailinator.com	UU77
ABCDEFGH189	ABCDEFGH13621	ABCDEFGH13834	1970-01-01T00:00:00+00:00	Homme	pupilles	A2	ADRES66	+1 (449) 884-3716	+1 (175) 294-6673	rebyz@mailinator.com	220	1970-01-01T00:00:00+00:00	Orange	ABCDEFGH13508E114	ABCDEFGH135544	123456	120012		UU78
ABCDEFGH190	ABCDEFGH13622	ABCDEFGH13835	1970-01-01T00:00:00+00:00	Homme	Minimes	A2	ADRES67	+1 (961) 684-8612	Maiores id sint lab	nodycilob@mailinator.com	71	1970-01-01T00:00:00+00:00	Bleue 2	ABCDEFGH13508E115	ABCDEFGH135545				UU79
ABCDEFGH191	ABCDEFGH13623	ABCDEFGH13836	1970-01-01T00:00:00+00:00	Homme	Benjamins	A2	ADRES68	+1 (858) 261-9518	Vitae sed ut et fugi	bybesytus@mailinator.com	96	1970-01-01T00:00:00+00:00	Bleue 1	ABCDEFGH13508E116	ABCDEFGH135546	328 142-8882	+1 (688) 993-4496	kaseka@mailinator.com	UU80
ABCDEFGH192	ABCDEFGH13624	ABCDEFGH13837	1970-01-01T00:00:00+00:00	Homme	pupilles	A2	ADRES69	+1 (449) 884-3716	+1 (175) 294-6673	rebyz@mailinator.com	220	1970-01-01T00:00:00+00:00	Orange	ABCDEFGH13508E117	ABCDEFGH135547	123456	120012		UU81
ABCDEFGH193	ABCDEFGH13625	ABCDEFGH13838	1970-01-01T00:00:00+00:00	Homme	Minimes	A2	ADRES70	+1 (961) 684-8612	Maiores id sint lab	nodycilob@mailinator.com	71	1970-01-01T00:00:00+00:00	Bleue 2	ABCDEFGH13508E118	ABCDEFGH135548				UU82
ABCDEFGH194	ABCDEFGH13626	ABCDEFGH13839	1970-01-01T00:00:00+00:00	Homme	Benjamins	A2	ADRES71	+1 (858) 261-9518	Vitae sed ut et fugi	bybesytus@mailinator.com	96	1970-01-01T00:00:00+00:00	Bleue 1	ABCDEFGH13508E119	ABCDEFGH135549	328 142-8882	+1 (688) 993-4496	kaseka@mailinator.com	UU83
ABCDEFGH195	ABCDEFGH13627	ABCDEFGH13840	1970-01-01T00:00:00+00:00	Homme	pupilles	A2	ADRES72	+1 (449) 884-3716	+1 (175) 294-6673	rebyz@mailinator.com	220	1970-01-01T00:00:00+00:00	Orange	ABCDEFGH13508E120	ABCDEFGH135550	123456	120012		UU84
ABCDEFGH196	ABCDEFGH13628	ABCDEFGH13841	1970-01-01T00:00:00+00:00	Homme	Minimes	A2	ADRES73	+1 (961) 684-8612	Maiores id sint lab	nodycilob@mailinator.com	71	1970-01-01T00:00:00+00:00	Bleue 2	ABCDEFGH13508E121	ABCDEFGH135551				UU85
ABCDEFGH197	ABCDEFGH13629	ABCDEFGH13842	1970-01-01T00:00:00+00:00	Homme	Benjamins	A2	ADRES74	+1 (858) 261-9518	Vitae sed ut et fugi	bybesytus@mailinator.com	96	1970-01-01T00:00:00+00:00	Bleue 1	ABCDEFGH13508E122	ABCDEFGH135552	328 142-8882	+1 (688) 993-4496	kaseka@mailinator.com	UU86
ABCDEFGH198	ABCDEFGH13630	ABCDEFGH13843	1970-01-01T00:00:00+00:00	Homme	pupilles	A2	ADRES75	+1 (449) 884-3716	+1 (175) 294-6673	rebyz@mailinator.com	220	1970-01-01T00:00:00+00:00	Orange	ABCDEFGH13508E123	ABCDEFGH135553	123456	120012		UU87
ABCDEFGH199	ABCDEFGH13631	ABCDEFGH13844	1970-01-01T00:00:00+00:00	Homme	Minimes	A2	ADRES76	+1 (961) 684-8612	Maiores id sint lab	nodycilob@mailinator.com	71	1970-01-01T00:00:00+00:00	Bleue 2	ABCDEFGH13508E124	ABCDEFGH135554				UU88
ABCDEFGH200	ABCDEFGH13632	ABCDEFGH13845	1970-01-01T00:00:00+00:00	Homme	Benjamins	A2	ADRES77	+1 (858) 261-9518	Vitae sed ut et fugi	bybesytus@mailinator.com	96	1970-01-01T00:00:00+00:00	Bleue 1	ABCDEFGH13508E125	ABCDEFGH135555	328 142-8882	+1 (688) 993-4496	kaseka@mailinator.com	UU89
ABCDEFGH201	ABCDEFGH13633	ABCDEFGH13846	1970-01-01T00:00:00+00:00	Homme	pupilles	A2	ADRES78	+1 (449) 884-3716	+1 (175) 294-6673	rebyz@mailinator.com	220	1970-01-01T00:00:00+00:00	Orange	ABCDEFGH13508E126	ABCDEFGH135556	123456	120012		UU90
